age,monthly_income,employment_type,upi_txn_per_month,avg_txn_amount,utility_bills_paid,rent_payments_on_time,mobile_recharge_regularity,spending_variance,income_stability_ratio,savings_rate,late_payments,overdraft_count,loan_amount_requested,loan_tenure_months,repaid
59,60922,salaried,21,2925,8,5,0.3924518848685079,0.7338700872128415,0.936423910451393,0.0696545916327233,6,0,323680,48,1
49,53231,self_employed,73,3103,0,7,0.27931812906328124,0.3218913425339639,0.8525855666375728,0.06741707572610584,6,4,84584,48,1
35,34301,student,121,4780,4,10,0.9314103277930599,0.3469670756244838,0.8254181537551248,0.35575291368909767,3,0,363103,6,0
28,67711,self_employed,85,1175,6,7,0.6833362812802138,0.20838520325645182,0.9796581985710662,0.18882069148815567,9,0,154642,12,0
41,46323,salaried,43,3188,10,1,0.2624603114006834,0.44562069209993216,0.5563377815553441,0.48064898706647136,8,4,482801,24,1
59,23752,salaried,40,1889,5,7,0.6450313345519502,0.051993431411300306,0.7276815527571168,0.16282424325316902,0,0,172010,24,1
39,18395,gig_worker,136,3136,5,5,0.8485724095820462,0.30036322357111367,0.9369507892840514,0.49176186087398144,0,2,474671,12,1
43,61273,salaried,33,4938,11,8,0.40163020833276863,0.5271239217776975,0.8536222602301666,0.10271162829763136,4,1,102216,60,1
31,9895,gig_worker,55,3753,6,11,0.8299575091561823,0.465631921559137,0.6943652707579304,0.05140719311552677,2,4,262287,6,1
31,15699,gig_worker,18,3275,5,6,0.15441494433999237,0.9996696431230337,0.3533495793461392,0.15628486676147857,9,2,450014,12,0
44,70061,gig_worker,73,4399,4,1,0.822781364866168,0.38876465211691,0.7569064076889712,0.4427923947142945,8,0,382427,6,1
56,14715,salaried,61,1176,9,7,0.5402942426723664,0.3869990592543089,0.6685888898074965,0.26092597224764236,4,0,369554,60,1
44,24169,gig_worker,16,1073,4,8,0.2229744880099821,0.5035817774144603,0.4289263230392385,0.06782505296860403,6,1,457934,6,0
23,21163,salaried,21,1965,8,6,0.4071413845559114,0.19030311027122981,0.9175771863398181,0.10124952480204752,0,2,453185,36,0
42,10782,student,34,3225,7,3,0.9879929924466168,0.8763044229591579,0.5402740164291202,0.15563033107478164,1,2,499941,12,0
22,40585,self_employed,92,1399,11,8,0.7835560166424261,0.5722677888644485,0.5712359254621078,0.2950833689063539,3,4,265474,24,0
44,35682,salaried,103,3506,9,3,0.5750863613851153,0.19210763919942242,0.7706810841574874,0.16618946993881034,8,0,217911,48,0
50,52864,salaried,27,1258,3,11,0.11516391190452557,0.7934415913721323,0.6421591194288687,0.3735270410446636,4,3,498798,60,0
58,60114,salaried,133,3229,3,3,0.4178115829015002,0.03433217114285325,0.36249675339540455,0.3081467780926483,4,4,219156,60,0
22,43067,gig_worker,83,204,9,8,0.26305151401193727,0.9825642005854273,0.5712091321486643,0.43691186867667003,8,4,480753,48,0
41,47685,salaried,36,3667,4,7,0.07100107950539025,0.8651493347713713,0.36612628255676316,0.25048091317968213,7,4,50820,12,0
53,23073,self_employed,13,4448,2,3,0.542204388719315,0.5796394555340199,0.4335252821863668,0.1655882070505339,1,1,103235,48,0
32,41035,salaried,19,4490,7,7,0.8891856998408761,0.11129566275706648,0.30502210684531766,0.49813578390160207,6,1,230328,6,1
42,69977,gig_worker,31,1281,6,7,0.6755998681741251,0.21527277328967143,0.42691915703926353,0.17781666090367787,0,4,169290,48,1
45,70450,gig_worker,113,4744,4,6,0.24968038798051118,0.27943517031356313,0.5313131477988526,0.21430131989025603,9,3,14990,6,0
47,15382,gig_worker,80,3238,9,9,0.5735846069537891,0.241031737903611,0.6767529036126062,0.40456361267904417,8,2,17778,6,1
48,9437,gig_worker,69,4494,2,5,0.9432342833469689,0.49752001045344574,0.9434940478279126,0.044318116946546304,2,2,438356,24,1
36,75971,salaried,113,3634,4,7,0.7229150529229353,0.9445603702671478,0.6782288070694387,0.19324505302925732,1,0,367340,48,1
35,69612,salaried,133,4296,2,6,0.689473899406764,0.4441725847678105,0.793922478955039,0.042855046719141976,3,2,92448,24,1
23,66929,gig_worker,14,3227,9,4,0.9681581662275163,0.6615645681734055,0.5503739639140419,0.06965293333637895,3,2,187678,48,0
57,17329,salaried,51,1874,4,11,0.7988733111840248,0.6885832059788232,0.826141555497087,0.0023204127490034643,2,3,97334,6,1
27,30169,self_employed,127,3914,0,3,0.13662354309875213,0.8715807252544827,0.7343281222360342,0.004772146291187607,1,2,467560,48,0
41,39594,salaried,63,191,5,11,0.3476350869762014,0.033821287571519254,0.6218558092924029,0.190143944751426,4,3,80012,60,0
29,65631,salaried,100,546,9,1,0.9651407007376861,0.4043300593475422,0.43563815642385806,0.4045819024738881,3,1,64871,60,1
59,50033,salaried,107,208,3,10,0.48970539419799786,0.7847351140860993,0.5124786355981092,0.29350218029584657,4,3,121445,24,0
38,68133,student,128,4512,3,7,0.11163744532118536,0.8148670149654462,0.7346622611630285,0.3174570220688217,7,1,218214,36,0
24,78165,salaried,90,3339,7,8,0.45860487967234187,0.9273326151740112,0.5982394270552011,0.25962461879244325,1,3,427156,60,1
45,78861,self_employed,116,4153,1,3,0.6969932340708007,0.7027943598180023,0.9225705897243364,0.40989657208527935,8,4,356017,24,0
34,57290,salaried,31,4637,3,3,0.9975482216812411,0.2451539461047435,0.46438819007490967,0.4401893625930871,9,1,225028,36,0
29,36750,gig_worker,22,1345,1,4,0.3239053165632019,0.5056657430843782,0.3511508565772906,0.42487036407268763,0,1,259852,12,0
46,45461,salaried,86,2820,0,1,0.5140868748792737,0.03234528791889757,0.7125440035538391,0.4060660529015195,7,2,296734,24,0
22,78800,student,76,377,9,6,0.8796807046497939,0.6469283410982468,0.9202355881330531,0.0913565367816419,4,1,449733,60,1
40,29226,student,58,3156,2,4,0.3552672180573335,0.5542952115087567,0.5553173206078521,0.29693811268261056,1,3,492808,60,0
48,11721,salaried,75,4764,11,5,0.10926155659085723,0.6668362807612931,0.7533979344077155,0.2910815980491851,7,4,72145,48,1
27,61154,student,42,3022,7,3,0.948935875001504,0.9301405533875955,0.46198883552400405,0.2639720018738205,4,4,427513,36,0
28,25609,student,141,2613,5,7,0.4884408067135001,0.6872766117204315,0.6909303451708818,0.24040639464838298,9,2,163938,60,0
55,57130,gig_worker,39,938,11,7,0.5027837107719717,0.3204499303747612,0.8507544706038572,0.044585238593191745,9,3,126909,48,1
34,77909,gig_worker,86,2901,6,11,0.6212001446041822,0.19873666387015676,0.9069221191436787,0.051081616953110975,2,3,301135,36,1
37,60249,salaried,137,129,1,4,0.003536623703224606,0.8546362068186548,0.3735833908966777,0.4511407852203117,6,0,6907,24,0
56,53895,self_employed,146,1357,5,11,0.9311311755688492,0.19433214327376058,0.5494621614052718,0.3150932195605993,3,1,216586,24,1
24,10656,salaried,8,464,7,5,0.3614510847745417,0.1616095805953639,0.7477511093551091,0.1311586072490032,9,2,424154,48,0
22,79520,salaried,27,1900,7,2,0.39693186238434863,0.2066120806809758,0.32430600766555656,0.13965019460672812,5,4,343623,24,0
26,68740,student,52,1004,3,0,0.17410924753323498,0.5088408481305068,0.7834306401055788,0.30509741582431504,9,0,404026,48,0
24,69309,salaried,129,4893,5,8,0.37815161329246105,0.12418744315945685,0.6696237179626789,0.20346748731783104,7,3,246537,6,0
49,34984,gig_worker,59,2278,4,8,0.8039435307760521,0.9381183305967022,0.5019963954540185,0.2206620854925473,0,1,322744,36,0
38,78822,gig_worker,72,2950,8,2,0.7999916725555348,0.9662537072400896,0.8702581154158353,0.03032499526670951,1,4,248439,48,0
46,10901,student,92,2936,7,3,0.9357968408954528,0.9738018532829988,0.5030354986070427,0.06936959355487238,7,0,325756,36,0
54,36552,student,5,4546,1,6,0.4032294726807958,0.039124804819719805,0.9939905323426623,0.1966752132818313,6,3,304849,6,1
30,36055,salaried,139,279,11,1,0.7087215037485843,0.9461975264800317,0.8714591323793381,0.3498432099673842,9,4,485884,36,0
56,42685,salaried,99,3973,6,11,0.5072375552075571,0.9974149326174252,0.7955863509681613,0.024012693799956575,8,4,284759,48,0
34,78965,self_employed,144,4060,6,2,0.804022789519131,0.9424291093454871,0.3429432905738522,0.1672788964155416,1,3,246636,24,0
51,19716,salaried,110,1286,10,5,0.7125420091329969,0.6709389057627061,0.9330172603910913,0.34753597596725794,7,3,80475,36,0
35,16138,salaried,137,4059,11,10,0.36790292528627566,0.7012301524085008,0.8530387140162856,0.3960253952251456,5,2,376198,36,1
28,40298,salaried,112,873,0,7,0.33667383425369246,0.12225293987344765,0.46031755550426157,0.09511035204765667,0,4,100490,60,0
34,56112,gig_worker,46,4705,0,0,0.2524424630279676,0.8742970770749625,0.5745737269288222,0.3657435659467286,3,3,266499,60,0
43,28429,self_employed,106,4560,11,3,0.5765157904886378,0.0596395846287715,0.4880420861334,0.47770584703951474,1,0,333417,6,1
41,55200,salaried,128,452,3,0,0.9638428515938595,0.3177305466176398,0.9890912239267464,0.45340607504822417,6,1,91356,12,1
36,76308,gig_worker,144,4607,4,1,0.200066737617566,0.991151645148187,0.8979375113638917,0.39468803868875446,8,2,253739,24,0
38,53244,salaried,107,4930,3,7,0.09525245490432521,0.4223278791029953,0.9511577118865717,0.3561633430206691,5,3,315847,48,0
